City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Myronivka,UA,49.6601,30.9823,28.6,96,100,1.95,overcast clouds
169,Nizhnevartovsk,RU,60.9344,76.5531,-22.0,69,0,4.47,clear sky
170,Seoul,KR,37.5683,126.9778,26.6,43,0,3.44,clear sky
171,Batagay-Alyta,RU,67.8006,130.4114,-32.49,81,58,1.72,broken clouds
172,Kalmunai,LK,7.4167,81.8167,80.74,85,96,15.35,moderate rain
173,Pombas,CV,17.1503,-25.0201,68.0,52,20,19.57,few clouds
174,Hirara,JP,24.8,125.2833,64.4,68,75,11.5,broken clouds
175,Brae,GB,60.3964,-1.353,32.0,86,75,3.44,broken clouds
176,La Asuncion,VE,11.0333,-63.8628,76.82,83,95,16.33,overcast clouds
177,Bukama,CD,-9.2,25.85,71.06,94,98,2.62,light rain
178,Khatanga,RU,71.9667,102.5,-8.43,90,100,12.88,overcast clouds
179,Manzhouli,CN,49.6,117.4333,5.41,83,23,8.37,few clouds
180,Berlevag,NO,70.8578,29.0864,12.2,67,0,26.46,clear sky
181,Ancud,CL,-41.8697,-73.8203,44.01,93,40,5.75,light rain
182,Placido De Castro,BR,-10.3353,-67.1856,73.92,92,100,2.57,overcast clouds
183,Atar,MR,20.5169,-13.0499,52.99,50,77,10.92,broken clouds
184,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,75,5.75,light rain
185,Cidreira,BR,-30.1811,-50.2056,76.28,82,9,21.18,clear sky
186,Puerto Del Rosario,ES,28.5004,-13.8627,57.2,72,20,8.05,few clouds
187,Gimli,CA,50.6336,-96.9907,8.6,92,92,3.8,overcast clouds
188,Quelimane,MZ,-17.8786,36.8883,87.8,70,20,6.91,light rain
189,Paamiut,GL,61.994,-49.6678,32.92,97,100,8.39,light snow
190,Abu Dhabi,AE,24.4667,54.3667,68.0,32,0,2.3,clear sky
191,Touros,BR,-5.1989,-35.4608,77.0,88,75,4.61,broken clouds
192,Nizhniy Kuranakh,RU,58.8353,125.4869,-24.77,83,96,1.05,overcast clouds
193,Mayo,US,38.8876,-76.5119,30.2,100,1,2.77,clear sky
194,Souillac,MU,-20.5167,57.5167,84.2,89,40,11.5,scattered clouds
195,Umm Kaddadah,SD,13.6017,26.6876,69.24,22,0,23.13,clear sky
196,Hobyo,SO,5.3505,48.5268,78.8,59,17,23.8,few clouds
197,Hualmay,PE,-11.0964,-77.6139,69.26,85,87,9.46,overcast clouds
